coursereferencenumber,coursetitle,trainingprovideralias,skill_cluster,full_course_fee,course_fee_after_subsidies,usd_list,usd_after_ssg,courseratings_stars,courseratings_noofrespondents,attendancecount,number_of_hours,lookup_url,already_in_scored_catalogue
TGS-2024042288,Introduction to Sustainable Investments,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,esg_reporting,700.0,210.0,546.0,163.8,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024042288,False
TGS-2025054329,Merging Sustainability with OHS (Synchronous e-learning),QE SAFETY CONSULTANCY PTE. LTD.,esg_reporting,700.0,350.0,546.0,273.0,,,3.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025054329,False
TGS-2024042480,Net-Zero Investing Strategies,SINGAPORE UNIVERSITY OF SOCIAL SCIENCES,esg_reporting,700.0,210.0,546.0,163.8,,,,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024042480,False
TGS-2024046145,Strategies for Digital and Sustainable Manufacturing Transformation,SINGAPORE INSTITUTE OF MANUFACTURING TECHNOLOGY,esg_reporting,700.0,210.0,546.0,163.8,4.0,30.0,49.0,8.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024046145,False
TGS-2023021534,Sustainability Made Easy for Small and Medium Enterprises (SMEs),SINGAPORE POLYTECHNIC,esg_reporting,720.0,216.0,561.6,168.48000000000002,4.5,28.0,30.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023021534,False
TGS-2022014589,Sustainability of Food Manufacturing,Singapore Polytechnic,esg_reporting,720.0,216.0,561.6,168.48000000000002,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2022014589,False
TGS-2023037877,Sustainability in Tourism & Event Operations,NTUC LEARNINGHUB PTE. LTD.,esg_reporting,760.0,380.0,592.8000000000001,296.40000000000003,4.5,171.0,198.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023037877,False
TGS-2025054101,CoC in Circular Economy Strategies for Business Transformation,Institute of Technical Education,esg_reporting,770.0,231.0,600.6,180.18,,,,14.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025054101,False
TGS-2017505350,Design for Sustainability,NANYANG TECHNOLOGICAL UNIVERSITY,esg_reporting,780.0,780.0,608.4,608.4,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2017505350,False
TGS-2023040850,PWM-Waste Management: General Waste and Recyclable Waste Collection and Management (Level 1),WORK WORK PRIVATE LIMITED,esg_reporting,780.0,390.0,608.4,304.2,4.5,111.0,110.0,14.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023040850,False
TGS-2023039998,PWM-Waste Management: General Waste and Recyclable Waste Collection and Management (Level 2),WORK WORK PRIVATE LIMITED,esg_reporting,780.0,390.0,608.4,304.2,5.0,57.0,76.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023039998,False
TGS-2023037491,PWM-Waste Management & PWM-Cleaning: Operate hook-lift mounted trucks and equipment to collect and transport waste during waste collection,Waste Management and Recycling Association of Singapore,esg_reporting,790.0,395.0,616.2,308.1,5.0,201.0,260.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023037491,False
TGS-2024046144,PWM-Waste Management: Carry out collection and disposal of Class C general waste (sludge and greasy waste collection and management),Waste Management and Recycling Association of Singapore,esg_reporting,790.0,395.0,616.2,308.1,5.0,30.0,50.0,12.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024046144,False
TGS-2023037494,PWM-Waste Management: Carry out collection of Class A and Class B general waste and recyclable waste,Waste Management and Recycling Association of Singapore,esg_reporting,790.0,395.0,616.2,308.1,4.5,133.0,159.0,12.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023037494,False
TGS-2023037492,"PWM-Waste Management: Use appropriate compaction vehicles and equipment to collect, compress, transport and dispose waste",Waste Management and Recycling Association of Singapore,esg_reporting,790.0,395.0,616.2,308.1,4.5,56.0,87.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023037492,False
TGS-2024049500,(Micro-Credential) Creating Innovative and Sustainable Personal Care Products,SINGAPORE POLYTECHNIC,esg_reporting,800.0,240.0,624.0,187.20000000000002,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024049500,False
TGS-2025053625,Implementing Sustainable Green Building Strategies for Facility Operations,NTUC LEARNINGHUB PTE. LTD.,esg_reporting,800.0,400.0,624.0,312.0,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025053625,False
TGS-2025053624,Integrating Sustainable Digital Technologies and Smart Automation into Facility Operations,NTUC LEARNINGHUB PTE. LTD.,esg_reporting,800.0,400.0,624.0,312.0,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025053624,False
TGS-2025053993,JLP - An Introduction to Navigating ESG,SINGAPORE ACADEMY OF LAW,esg_reporting,800.0,400.0,624.0,312.0,,,,7.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2025053993,False
TGS-2024043952,PWM-Waste Management: Carry out collection of Class A and Class B General Waste and Recyclable Waste,FOCUS LEARNING CENTRE PTE. LTD.,esg_reporting,800.0,400.0,624.0,312.0,5.0,66.0,89.0,10.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024043952,False
TGS-2023040332,"PWM-Waste Management: Use appropriate compaction vehicles and equipment to collect, compress, transport and dispose waste",FOCUS LEARNING CENTRE PTE. LTD.,esg_reporting,800.0,400.0,624.0,312.0,5.0,25.0,21.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023040332,False
TGS-2024051519,STEAM Sustainability Professional Lesson Plan Development,TERTIARY INFOTECH PTE. LTD.,esg_reporting,800.0,400.0,624.0,312.0,,,,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2024051519,False
TGS-2023021470,Sustainable Aquaponics Farming,Republic Polytechnic,esg_reporting,800.0,240.0,624.0,187.20000000000002,4.5,38.0,74.0,16.0,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023021470,False
